Task_id;closestDist;farestDist;avgDist;stvDist;mdnDist;timWind;srvTime;blTWB[0];blTWB[1];blTWB[2];blTWB[3];blTWB[4];blTWB[5];blTWB[6];blTWB[7];blTWB[8];blTWB[9];blTWB[10];blTWB[11];blTWB[12];blTWB[13];blTWB[14];blTWB[15];blTWB[16];blTWB[17];blTWB[18];blTWB[19];blTWB[20];blTWB[21];blTWB[22];blTWB[23];perResUnav;perResWSkills;blServiced
153;0,01;0,83;0,34;0,2;0,35;0,32;0,15;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0,5;0
154;0,04;0,52;0,29;0,09;0,28;0,26;0,2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1
155;0,04;0,69;0,44;0,15;0,46;0,39;0,12;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0,75;0
156;0,03;0,85;0,53;0,16;0,56;0,35;0,11;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0,75;0
157;0,02;0,87;0,4;0,2;0,42;0,22;0,2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
158;0,1;0,74;0,41;0,13;0,43;0,37;0,12;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
159;0,02;0,85;0,54;0,16;0,58;0,34;0,09;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0,75;0
160;0,01;0,8;0,38;0,18;0,39;0,38;0,06;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0,5;0
161;0,02;0,84;0,53;0,16;0,57;0,17;0,22;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,75;0
162;0,04;0,69;0,41;0,13;0,43;0,19;0,27;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,38;1
163;0,01;0,84;0,41;0,19;0,42;0,22;0,25;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,38;0
164;0,01;0,82;0,47;0,19;0,52;0,22;0,28;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,5;0
165;0,04;0,64;0,39;0,14;0,4;0,32;0,19;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
166;0,03;0,77;0,44;0,18;0,48;0,26;0,19;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0,25;0
167;0,01;0,95;0,42;0,23;0,42;0,39;0,1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,25;0
168;0,03;0,53;0,29;0,1;0,28;0,2;0,13;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
169;0,05;0,78;0,38;0,18;0,37;0,37;0,07;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0,38;0
170;0,07;0,88;0,56;0,19;0,62;0,33;0,09;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
